region_id,month,mean_temperature_c,mean_humidity_percent,mean_precipitation_mm
vancouver,1,4.80,85.00,5.50
vancouver,2,5.30,82.00,3.70
vancouver,3,7.10,80.00,3.80
vancouver,4,9.90,76.00,2.90
vancouver,5,13.20,72.00,2.10
vancouver,6,16.10,70.00,1.80
vancouver,7,18.20,69.00,1.10
vancouver,8,18.40,70.00,1.20
vancouver,9,15.40,75.00,1.90
vancouver,10,10.70,82.00,3.90
vancouver,11,6.60,85.00,6.30
vancouver,12,4.30,86.00,5.80
calgary,1,-7.10,68.00,0.40
calgary,2,-5.40,65.00,0.40
calgary,3,-0.60,61.00,0.80
calgary,4,4.80,55.00,1.10
calgary,5,9.80,55.00,1.80
calgary,6,13.80,59.00,2.70
calgary,7,16.50,57.00,2.10
calgary,8,15.80,55.00,1.80
calgary,9,10.70,57.00,1.40
calgary,10,4.50,61.00,0.80
calgary,11,-2.80,67.00,0.50
calgary,12,-6.80,69.00,0.40
toronto,1,-3.70,73.00,1.70
toronto,2,-2.80,70.00,1.60
toronto,3,1.90,68.00,1.80
toronto,4,8.00,64.00,2.20
toronto,5,14.20,65.00,2.30
toronto,6,19.40,67.00,2.30
toronto,7,22.20,69.00,2.20
toronto,8,21.40,72.00,2.10
toronto,9,17.30,75.00,2.30
toronto,10,10.70,76.00,2.10
toronto,11,5.10,76.00,2.20
toronto,12,-0.50,76.00,1.90
montreal,1,-9.20,71.00,1.60
montreal,2,-7.70,68.00,1.50
montreal,3,-1.80,66.00,1.80
montreal,4,6.20,62.00,2.20
montreal,5,13.10,63.00,2.50
montreal,6,18.20,66.00,2.80
montreal,7,21.20,68.00,2.90
montreal,8,20.10,71.00,2.80
montreal,9,15.20,74.00,2.70
montreal,10,8.10,75.00,2.50
montreal,11,1.50,75.00,2.40
montreal,12,-5.50,74.00,2.00
halifax,1,-5.00,77.00,4.50
halifax,2,-4.60,76.00,3.80
halifax,3,-0.80,76.00,4.20
halifax,4,4.80,74.00,4.00
halifax,5,9.90,76.00,3.80
halifax,6,14.50,78.00,3.40
halifax,7,18.60,79.00,3.20
halifax,8,18.90,80.00,3.10
halifax,9,14.90,81.00,3.60
halifax,10,9.10,80.00,4.20
halifax,11,4.00,79.00,4.80
halifax,12,-1.50,78.00,4.70
